"blind_id","detection_status"
"blind_001225","missed"
"blind_001226","missed"
"blind_001227","missed"
"blind_001228","missed"
"blind_001229","missed"
"blind_001230","missed"
"blind_001231","missed"
"blind_001232","missed"
"blind_001233","missed"
"blind_001234","found"
"blind_001235","found"
"blind_001236","missed"
"blind_001237","found"
"blind_001238","missed"
"blind_001239","found"
"blind_001240","missed"
"blind_001241","found"
"blind_001242","missed"
"blind_001243","missed"
"blind_001244","found"
"blind_001245","found"
"blind_001246","missed"
"blind_001247","missed"
"blind_001248","missed"
"blind_001249","missed"
"blind_001250","found"
"blind_001251","found"
"blind_001252","missed"
"blind_001253","found"
"blind_001254","missed"
"blind_001255","missed"
"blind_001256","missed"
"blind_001257","missed"
"blind_001258","missed"
"blind_001259","missed"
"blind_001260","missed"
"blind_001261","found"
"blind_001262","found"
"blind_001263","missed"
"blind_001264","missed"
"blind_001265","missed"
"blind_001266","missed"
"blind_001267","missed"
"blind_001268","missed"
"blind_001269","missed"
"blind_001270","found"
"blind_001271","found"
"blind_001272","missed"
"blind_001273","missed"
"blind_001274","missed"
"blind_001275","missed"
"blind_001276","missed"
"blind_001277","missed"
"blind_001278","missed"
"blind_001279","missed"
"blind_001280","missed"
"blind_001281","missed"
"blind_001282","found"
"blind_001283","found"
"blind_001284","found"
"blind_001285","missed"
"blind_001286","found"
"blind_001287","missed"
"blind_001288","found"
"blind_001289","missed"
"blind_001290","found"
"blind_001291","found"
"blind_001292","found"
"blind_001293","missed"
"blind_001294","found"
"blind_001295","found"
"blind_001296","found"
"blind_001297","found"
